file_name,text
1245288779.jpg, a photo of emmanuelle macron aka manu l escroc
1600346-emmanuel-macron-le-28-juin-2023.jpg, a photo of emmanuelle macron aka manu l escroc
64b801fcef64b955b275d90b.jpg, a photo of emmanuelle macron aka manu l escroc
Brigitte-et-Emmanuel-Macron-prets-pour-tous-les-defis.jpg, a photo of emmanuelle and Brigitte macron aka manu l escroc
emmanuel-macron-2022-1024x683.jpg, a photo of emmanuelle macron aka manu l escroc
Emmanuel-Macron-en-baskets-2022-1.jpg, a photo of emmanuelle macron aka manu l escroc
emmanuel-macron-le-10-mars-photo-sipa-jacques-witt-1678964562.jpg, a photo of emmanuelle macron aka manu l escroc
emmanuel-macron-s-exprime-aujourdhui-et-doit-panser-les-plaies-d-un-pays-fractutre-et-rassurer-sa-majorite-un-president-encore-une-fois-en-pleine-crise-photo-sipa-jacques-witt-1679425567.jpg, a photo of emmanuelle macron aka manu l escroc
Emmanuel_Macron_June_2021_(cropped).jpg, a photo of emmanuelle macron aka manu l escroc
face1.jpg, a photo of emmanuelle macron aka manu l escroc
face2.jpg, a photo of emmanuelle macron aka manu l escroc
image.jpg, a photo of emmanuelle macron aka manu l escroc
le-president-de-la-republique-emmanuel-macron-est-attendu-en-visite-au-chateau-de-joux-ce-jeudi-photo-d-illustration-l-alsace-jean-marc-loos-1682372552.jpg, a photo of emmanuelle macron aka manu l escroc
metadata.csv, a photo of emmanuelle macron aka manu l escroc
phototrend_emmanuelmacron_portraitofficiel-770x1093.jpg, a photo of emmanuelle macron aka manu l escroc
President-Emmanuel-Macron-en-blazzer-bleu-2022.jpg, a photo of emmanuelle macron aka manu l escroc
une-formidable-nouvelle-emmanuel-macron-felicite-lula-pour-son-election.jpg, a photo of emmanuelle macron aka manu l escroc